Site,StationCode,DateSampled,ActivityType,ComponentShort,ComponentLong,Result,Remark,Units,MDL,PQL,MRL,Dilution,DateReceived,DateAnalyzed,TestComments,AnalysisMethod,Lab ID,Lab Accreditation Authority,Laboratory,RQ#,EnteredBy,EnteredOn,CheckedBy,CheckedOn
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,W-TKN,Kjeldahl Nitrogen,0.25,I,mg N/L,0.16,0.4,,,1/23/2019 10:15,1/28/2019 12:22,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
FORT MATANZAS,gtmfmnut1.2,1/22/2019 9:38,Sample,W-S-A-TP,Total-P,0.032,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/28/2019 16:35,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.10,1/22/2019 8:00,Sample,W-PO4-F,O-Phosphate-P,0.036,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 11:48,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.10,1/22/2019 8:00,Sample,W-NO2-F,Nitrite-N,0.006,,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/23/2019 20:10,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.10,1/22/2019 8:00,Sample,W-NO3-F,Nitrate-N,0.26,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 20:10,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.10,1/22/2019 8:00,Sample,W-NO2NO3-F,NO2NO3-N,0.27,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/24/2019 11:20,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.10,1/22/2019 8:00,Sample,FCOLI-MF,Fecal Coliforms-Membrane Filter,140,BQ,cfu/100 mL,2,2,,,1/23/2019 10:15,1/24/2019 13:15,,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.10,1/22/2019 8:00,Sample,W-DOC,Organic Carbon,24,,mg C/L,0.5,1,,,1/23/2019 10:15,1/24/2019 17:49,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.10,1/22/2019 8:00,Sample,W-TSS,TSS,5,I,mg/L,2,10,,,1/23/2019 10:15,1/25/2019 14:17,Batch relative percent difference is unavailable because of low analyte concentration in the QC sample.,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.10,1/22/2019 8:00,Sample,W-TKN,Kjeldahl Nitrogen,0.75,,mg N/L,0.16,0.4,,,1/23/2019 10:15,1/28/2019 13:21,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.10,1/22/2019 8:00,Sample,W-NH3-F,Ammonia-N,0.025,,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/28/2019 13:54,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.10,1/22/2019 8:00,Sample,W-S-A-TP,Total-P,0.067,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/28/2019 17:01,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.11,1/22/2019 10:30,Sample,W-PO4-F,O-Phosphate-P,0.03,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 12:00,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.11,1/22/2019 10:30,Sample,W-NO2-F,Nitrite-N,0.004,I,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/23/2019 20:12,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.11,1/22/2019 10:30,Sample,W-NO3-F,Nitrate-N,0.023,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 20:12,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.11,1/22/2019 10:30,Sample,W-NO2NO3-F,NO2NO3-N,0.026,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/24/2019 11:21,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.11,1/22/2019 10:30,Sample,FCOLI-MF,Fecal Coliforms-Membrane Filter,68,Q,cfu/100 mL,2,2,,,1/23/2019 10:15,1/24/2019 13:15,,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.11,1/22/2019 10:30,Sample,W-DOC,Organic Carbon,18,,mg C/L,1,2,,,1/23/2019 10:15,1/25/2019 0:47,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.11,1/22/2019 10:30,Sample,W-TSS,TSS,28,,mg/L,3,10,,,1/23/2019 10:15,1/25/2019 14:17,,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.11,1/22/2019 10:30,Sample,W-TKN,Kjeldahl Nitrogen,0.71,,mg N/L,0.16,0.4,,,1/23/2019 10:15,1/28/2019 13:26,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.11,1/22/2019 10:30,Sample,W-NH3-F,Ammonia-N,0.026,,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/28/2019 13:45,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.11,1/22/2019 10:30,Sample,W-S-A-TP,Total-P,0.086,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/28/2019 17:02,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.3,1/21/2019 14:30,Sample,W-PO4-F,O-Phosphate-P,0.028,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 11:54,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.3,1/21/2019 14:30,Sample,W-NO2-F,Nitrite-N,0.004,IQ,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/23/2019 19:57,Nitrite-N:  The sample expired upon receipt.,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.3,1/21/2019 14:30,Sample,W-NO3-F,Nitrate-N,0.019,Q,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 19:57,Nitrate-N: The sample expired upon receipt.,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.3,1/21/2019 14:30,Sample,FCOLI-MF,Fecal Coliforms-Membrane Filter,56,Q,cfu/100 mL,2,2,,,1/23/2019 10:15,1/24/2019 9:55,,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.3,1/21/2019 14:30,Sample,W-NO2NO3-F,NO2NO3-N,0.023,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/24/2019 11:01,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.3,1/21/2019 14:30,Sample,W-DOC,Organic Carbon,18,,mg C/L,1,2,,,1/23/2019 10:15,1/24/2019 23:45,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.3,1/21/2019 14:30,Sample,W-TSS,TSS,18,,mg/L,3,10,,,1/23/2019 10:15,1/25/2019 14:17,,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.3,1/21/2019 14:30,Sample,W-NH3-F,Ammonia-N,0.024,,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/28/2019 11:11,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.3,1/21/2019 14:30,Sample,W-TKN,Kjeldahl Nitrogen,0.72,,mg N/L,0.16,0.4,,,1/23/2019 10:15,1/28/2019 13:04,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.3,1/21/2019 14:30,Sample,W-S-A-TP,Total-P,0.07,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/28/2019 16:46,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.4,1/21/2019 17:00,Sample,W-PO4-F,O-Phosphate-P,0.032,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 11:55,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.4,1/21/2019 17:00,Sample,W-NO2-F,Nitrite-N,0.005,QJ,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/23/2019 19:52,Nitrite-N:  The sample expired upon receipt.  Refer to the narrative for an explanation of QC Codes.,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.4,1/21/2019 17:00,Sample,W-NO3-F,Nitrate-N,0.25,QJ,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 19:52,Nitrate-N: The sample expired upon receipt. Result calculated from J-qualified Nitrite-N result.,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.4,1/21/2019 17:00,Sample,W-NO2NO3-F,NO2NO3-N,0.25,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/24/2019 11:03,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.4,1/21/2019 17:00,Sample,FCOLI-MF,Fecal Coliforms-Membrane Filter,86,AQ,cfu/100 mL,2,2,,,1/23/2019 10:15,1/24/2019 13:15,,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.4,1/21/2019 17:00,Sample,W-DOC,Organic Carbon,22,,mg C/L,0.5,1,,,1/23/2019 10:15,1/24/2019 17:11,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.4,1/21/2019 17:00,Sample,W-TSS,TSS,10,,mg/L,3,10,,,1/23/2019 10:15,1/25/2019 14:17,,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.4,1/21/2019 17:00,Sample,W-NH3-F,Ammonia-N,0.027,,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/28/2019 11:13,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.4,1/21/2019 17:00,Sample,W-TKN,Kjeldahl Nitrogen,0.72,,mg N/L,0.16,0.4,,,1/23/2019 10:15,1/28/2019 13:06,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.4,1/21/2019 17:00,Sample,W-S-A-TP,Total-P,0.067,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/28/2019 16:47,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.5,1/21/2019 19:30,Sample,W-PO4-F,O-Phosphate-P,0.035,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 11:56,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.5,1/21/2019 19:30,Sample,W-NO2-F,Nitrite-N,0.006,Q,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/23/2019 19:59,Nitrite-N:  The sample expired upon receipt.,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.5,1/21/2019 19:30,Sample,W-NO3-F,Nitrate-N,0.26,Q,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 19:59,Nitrate-N: The sample expired upon receipt.,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.5,1/21/2019 19:30,Sample,W-NO2NO3-F,NO2NO3-N,0.26,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/24/2019 11:04,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.5,1/21/2019 19:30,Sample,FCOLI-MF,Fecal Coliforms-Membrane Filter,110,Q,cfu/100 mL,2,2,,,1/23/2019 10:15,1/24/2019 13:15,,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.5,1/21/2019 19:30,Sample,W-DOC,Organic Carbon,24,,mg C/L,0.5,1,,,1/23/2019 10:15,1/24/2019 17:23,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.5,1/21/2019 19:30,Sample,W-TSS,TSS,6,I,mg/L,2,10,,,1/23/2019 10:15,1/25/2019 14:17,Batch relative percent difference is unavailable because of low analyte concentration in the QC sample.,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.5,1/21/2019 19:30,Sample,W-NH3-F,Ammonia-N,0.027,,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/28/2019 11:14,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.5,1/21/2019 19:30,Sample,W-TKN,Kjeldahl Nitrogen,0.74,,mg N/L,0.16,0.4,,,1/23/2019 10:15,1/28/2019 13:07,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.5,1/21/2019 19:30,Sample,W-S-A-TP,Total-P,0.069,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/28/2019 16:16,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.6,1/21/2019 22:00,Sample,W-PO4-F,O-Phosphate-P,0.03,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 11:57,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.6,1/21/2019 22:00,Sample,W-NO2-F,Nitrite-N,0.004,I,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/23/2019 20:01,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.6,1/21/2019 22:00,Sample,W-NO3-F,Nitrate-N,0.021,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 20:01,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.6,1/21/2019 22:00,Sample,W-NO2NO3-F,NO2NO3-N,0.025,,mg N/L,0.004,0.01,,,1/23/2019 10:15,1/24/2019 11:05,,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.6,1/21/2019 22:00,Sample,FCOLI-MF,Fecal Coliforms-Membrane Filter,68,Q,cfu/100 mL,2,2,,,1/23/2019 10:15,1/24/2019 13:15,,SM 9222 D,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.6,1/21/2019 22:00,Sample,W-DOC,Organic Carbon,18,,mg C/L,1,2,,,1/23/2019 10:15,1/24/2019 23:58,,SM 5310 B-00,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.6,1/21/2019 22:00,Sample,W-TSS,TSS,12,,mg/L,3,10,,,1/23/2019 10:15,1/25/2019 14:17,,SM 2540 D-97,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.6,1/21/2019 22:00,Sample,W-NH3-F,Ammonia-N,0.026,,mg N/L,0.002,0.005,,,1/23/2019 10:15,1/28/2019 10:52,,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.6,1/21/2019 22:00,Sample,W-TKN,Kjeldahl Nitrogen,0.57,,mg N/L,0.16,0.4,,,1/23/2019 10:15,1/28/2019 13:09,,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.6,1/21/2019 22:00,Sample,W-S-A-TP,Total-P,0.062,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/28/2019 16:48,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
PELLICER CREEK,gtmpcnut 2.7,1/22/2019 0:30,Sample,W-PO4-F,O-Phosphate-P,0.027,,mg P/L,0.004,0.01,,,1/23/2019 10:15,1/23/2019 11:58,,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,RQ-2019-01-14-08,Shannon Dunnigan,2/13/2019,,
